frame,widget_key,renderer,call_index,duration_ms,width,height,cache_hit_if_known
115,exposure_text,text,2,0.0136,144,51,1
115,temp_text,text,3,0.0123,114,51,1
115,alt_text,bar,4,0.8528,337,213,0
116,fit_distance_text,bar,0,0.9439,2324,199,0
116,iso_text,text,1,0.0218,140,51,1
116,exposure_text,text,2,0.0137,144,51,1
116,temp_text,text,3,0.0125,114,51,1
116,alt_text,bar,4,0.861,337,213,0
117,fit_distance_text,bar,0,1.0874,2324,199,0
117,iso_text,text,1,0.0474,140,51,1
117,exposure_text,text,2,0.0138,144,51,1
117,temp_text,text,3,0.0124,114,51,1
117,alt_text,bar,4,1.3529,337,213,0
