frame,surf_acquire,vp_total,vp_setup,vp_create_view,vp_set_stream,vp_blt,vp_submit_window,vp_range_pass,vp_chart_blend,vp_gauge_blend,vp_map_blend,vp_hud_compute,vp_release_view,amf_create_surface,amf_submit_input,amf_query,amf_packet_write,process_frame_total,pool_index,amf_submitted,amf_received,submit_result,query_result,decoder_copy
104,0.0396,23.9176,23.2607,0.0023,23.2583,0.3041,0.6444,0.0125,0.1349,0.0624,0.1256,0.0028,0.013,0.0177,0.3058,0.2195,0.2337,24.8687,0,105,100,0,0,0
105,0.0446,17.4894,14.7727,0.0025,14.77,0.8402,2.6712,0.034,0.5266,0.5559,0.693,0.0143,0.0458,0.0679,1.2543,0.4095,0.3785,19.896,1,106,101,0,0,0
106,0.079,3.2144,2.1471,0.0065,2.1403,0.3566,1.0525,0.0146,0.1886,0.146,0.3392,0.005,0.0155,0.0232,0.541,0.2233,0.2461,4.473,2,107,102,0,0,0
107,0.0998,13.118,12.2306,0.0096,12.2207,0.2808,0.8769,0.0128,0.1877,0.1369,0.2503,0.0059,0.0113,0.0187,0.432,0.2067,0.1646,14.1434,3,108,103,0,0,0
108,0.0416,35.7098,35.0106,0.0023,35.0081,0.2551,0.681,0.0107,0.1947,0.0873,0.1263,0.005,0.0183,0.0237,0.4174,0.1904,0.1885,36.6899,0,109,104,0,0,0
109,0.054,22.3286,21.7606,0.003,21.7574,0.2757,0.5555,0.0119,0.1369,0.0491,0.0764,0.003,0.0131,0.0199,0.322,0.1469,0.1542,23.1181,1,110,105,0,0,0
110,0.0424,12.8187,12.1966,0.0022,12.1943,0.2084,0.6098,0.0099,0.12,0.1431,0.1242,0.0024,0.0127,0.0177,0.3011,0.158,0.2959,13.7374,2,111,106,0,0,0
111,0.0565,24.1637,23.4088,0.0022,23.4064,0.2824,0.7438,0.0121,0.1661,0.0776,0.2,0.0031,0.012,0.0147,0.2755,0.1351,0.1597,24.8932,3,112,107,0,0,0
112,0.0516,12.8147,12.1813,0.0027,12.1785,0.2586,0.622,0.0123,0.139,0.0694,0.1364,0.0036,0.0121,0.0163,0.3051,0.2028,0.2068,13.7173,0,113,108,0,0,0
113,0.0384,22.6971,21.8615,0.0018,21.8596,0.2643,0.8207,0.0109,0.2083,0.1257,0.2051,0.0045,0.0152,0.0254,0.436,0.2016,0.1863,23.7089,1,114,109,0,0,0
114,0.0461,22.9639,22.0784,0.0024,22.0759,0.3214,0.877,0.0311,0.1902,0.1144,0.2118,0.0059,0.009,0.0226,0.378,0.1438,0.1746,23.8243,2,115,110,0,0,0
115,0.0368,18.8971,17.8651,0.0023,17.8628,0.3605,1.0173,0.0133,0.2295,0.1528,0.2481,0.01,0.0156,0.0227,0.5167,0.2192,0.2402,20.0774,3,116,111,0,0,0
116,0.0697,8.0509,7.1175,0.0034,7.1138,0.2839,0.9229,0.0139,0.2027,0.1409,0.2737,0.0056,0.0112,0.0198,0.3551,0.1229,0.1452,8.8479,0,117,112,0,0,0
